,n_charges_per_100_bookings,percentage_unsatisfied,n_vehicles_sim
1,16.94915254237288,87.70833333333333,1
11,17.543859649122805,76.25,2
18,16.470588235294116,64.58333333333333,3
22,16.8141592920354,52.91666666666666,4
31,9.333333333333334,84.375,1
36,9.45945945945946,69.16666666666667,2
41,9.58904109589041,54.37499999999999,3
47,9.655172413793103,39.583333333333336,4
52,5.88235294117647,82.29166666666666,1
59,6.626506024096386,65.41666666666667,2
65,6.349206349206349,47.5,3
71,6.231454005934718,29.79166666666667,4
76,4.301075268817205,80.625,1
83,5.0,62.5,2
88,4.850746268656716,44.16666666666666,3
95,4.545454545454546,26.66666666666667,4
101,4.040404040404041,79.375,1
108,3.723404255319149,60.83333333333334,2
113,3.8869257950530036,41.04166666666666,3
119,3.804347826086957,23.33333333333333,4
124,3.0,79.16666666666666,1
131,3.608247422680412,59.583333333333336,2
137,3.4482758620689653,39.583333333333336,3
146,3.125,20.0,4
149,3.0,79.16666666666666,1
155,3.0,58.33333333333333,2
161,3.0716723549488054,38.95833333333333,3
167,3.076923076923077,18.75,4
173,1.8867924528301887,77.91666666666667,1
178,2.4271844660194173,57.08333333333333,2
184,2.302631578947368,36.66666666666667,3
190,2.493765586034913,16.45833333333333,4
197,1.8867924528301887,77.91666666666667,1
203,2.4271844660194173,57.08333333333333,2
209,2.302631578947368,36.66666666666667,3
215,2.2058823529411766,15.000000000000002,4
221,1.8867924528301887,77.91666666666667,1
228,1.8779342723004695,55.625,2
231,1.8867924528301887,33.75,3
239,1.9230769230769231,13.33333333333333,4
